pl_discmethod,pl_pnum,pl_orbper,pl_orbsmaxlim,pl_orbeccen,pl_bmassj,pl_radj,ra,dec,st_dist,st_optmag,st_teff,st_mass,st_rad,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_rvamp,pl_massj,pl_masse,pl_rade,pl_rads,pl_ratdor,pl_ratror,pl_disc,pl_locale,st_glon,st_glat,st_elon,st_elat,st_plx,st_pmra,st_pmdec,st_pm,st_radv,st_sp,st_logg,st_lum,st_age,st_vsini,st_colorn
Radial Velocity,1,116.6884,0,0.4,7.62,,202.107544,13.778788,18.11,4.98,5531,1.14,1.84,0,1,0,0,0,0,2.65E+01,316.3,7.62,2421.8646,,,,,1996,Ground,337.665279,74.100664,194.970818,21.340775,55.22,-234,-575.7,621.4,4.6,4.4,3.97,,,1.56,14
Radial Velocity,1,691.9,0,0.117,3,,38.039253,-1.034896,81.5,5.35,4846,2.49,10.5,0,1,0,0,0,0,2.58E+01,38.3,,,,,,,2012,Ground,169.944194,-54.44159,35.325385,-15.1675,12.27,-24.7,-31.4,40,,4.3,2.63,1.73,,1.77,7
Radial Velocity,1,93.4,0,0.06,1.31,,224.201477,74.900925,159.1,6.83,4847,1.44,10.3,0,1,0,0,0,0,3.08E+00,46.1,1.31,416.3573,,,,,2015,Ground,112.794978,39.66113,130.659106,73.344908,6.25,12.8,4.1,13.4,,5,2.57,,,3.6,6
Radial Velocity,1,952.7,0,0.206,5.3,,39.424168,-3.396175,97.18,5.65,4785,2.4,11,0,1,0,0,0,0,2.57E+01,62.8,,,,,,,2008,Ground,174.486548,-55.24993,35.893927,-17.849554,10.29,40.9,-44,60.1,,4.5,2.35,1.778,,1.8,7
Radial Velocity,1,181.4,0,0.027,3.2,,348.9729,-9.087737,45.52,4.25,4665,1.4,11,0,1,0,0,0,0,1.54E+01,91.5,,,,,,,2013,Ground,67.071988,-61.112023,346.308642,-4.001592,21.97,369.6,-16.8,370,-25.75,5,2.52,,3.56,3.9,14
Imaging,1,,0,,13.5,,94.803802,-58.05431,45.52,9.128,,,,0,0,1,0,0,0,5.71E+03,,13.5,4290.5,,,,,2005,Ground,266.943713,-26.930799,106.859385,-81.211862,21.97,15.9,46.2,48.9,22.2,5.2,,,0.03,12,8
Radial Velocity,1,481.9,0,0.2,6.4,,177.564804,2.760142,2618,9.58,4095,1.14,32.35,0,1,0,0,0,0,4.97E-01,155.7,,,,,8.64,,2017,Ground,269.325351,61.573487,176.6684,1.564346,,,,,50.88,,1.89,2.7,5.2,2.7,4
Radial Velocity,1,268.94,0,0.29,1.04,,318.399963,14.689387,50.03,9.63,4864,0.49,0.86,0,1,0,0,0,0,1.56E+01,55.2,1.04,330.5432,,,,,2009,Ground,64.417655,-22.630868,325.97532,29.216882,19.99,233.9,0.3,233.9,,5.2,4.26,,,2.5,6
Radial Velocity,1,153.22,0,0.001,1.061,,176.482174,14.616381,774,10.31,4649,1.08,8.95,0,1,0,0,0,0,7.44E-01,38.3,,,,,,,2016,Ground,249.002386,70.272589,170.891143,11.999643,,,,,-9.65,,2.61,1.57,7.41,2.5,4
Radial Velocity,1,137.48,0,0.26,1.11,,240.095566,15.54693,175.44,9.046,4796,1.1,14.7,0,1,0,0,0,0,,42.7,,,,,,,2013,Ground,28.104434,44.780297,233.93879,35.317753,1.71,15.5,-41.1,43.9,,5,2.8,2.01,7.1,2.3,5
Radial Velocity,2,379.63,0,0.15,55.59,,154.18691,19.891409,200,9.75,4259,10.83,71.02,0,1,0,0,0,0,5.25E+00,322.4,55.59,17668.1697,,,,,2009,Ground,216.044637,53.952466,148.88207,8.585762,5,,,,,5.2,1.77,,,2.5,3
Radial Velocity,2,621.99,0,0.18,12.47,,154.18691,19.891409,200,9.75,4259,10.83,71.02,0,1,0,0,0,0,1.01E+01,160.03,,,,,,,2009,Ground,216.044637,53.952466,148.88207,8.585762,5,,,,,5.2,1.77,,,2.5,3
Radial Velocity,1,578.2,0,0.21,4.2,,25.920324,21.005314,1083.64,9.36,4296,0.8,17.3,0,1,0,0,0,0,1.20E+00,121.4,,,,,,,2012,Ground,138.974211,-40.233372,31.621666,9.587493,0.92,,,,,5.5,1.99,1.96,,2,4
Transit,1,41.6855,0,0,0.07,0.23,53.650967,20.599232,,11.038,5766,1.67,1.08,1,1,0,0,0,0,,3.1,0.07,22.2481,2.578,0.024,55.8,,2016,Space,166.796349,-28.053358,56.292499,1.312319,,37.1,-51.5,63.5,-20.34,4,4.5,,,3.3,4
Radial Velocity,1,392.6,0,0.2,0.91,,40.710224,49.58696,,9.14,4414,0.74,11,0,1,0,0,0,0,,31.9,,,,,,,2011,Ground,140.808446,-9.378616,54.573323,32.030243,,,,,,5,2.24,1.69,,1,3
Radial Velocity,1,733,0,0.76,1.7,,40.742569,48.930061,751.87,8.699,4534,1.09,10.33,0,1,0,0,0,0,2.26E+00,54,,,,,,,2018,Ground,141.109069,-9.96525,54.322852,31.408497,1.33,-5.2,-1,5.3,-45.93,,2.48,1.64,,0.7,5
Radial Velocity,1,2590,0,0.35,1.6,,45.640529,49.730011,407.63,9.38,4943,1.52,7.6,0,1,0,0,0,0,1.03E+01,18.8,,,,,,,2015,Ground,143.61786,-7.801619,58.151801,31.078591,2.45,,,,,5,2.85,1.47,2.34,1.7,4
Radial Velocity,2,3.8728,0,0,0.027,,88.251183,-5.994844,20.1,9.7,4324,0.7,,0,1,0,0,0,0,2.13E+00,4.4,,,,,,,2013,Ground,211.656623,-15.715292,88.003116,-29.422014,49.74,0.1,-347.5,347.5,23.62,5.85,4.74,-1.022,4.4,0.57,12
Radial Velocity,2,125.94,0,0.31,0.17,,88.251183,-5.994844,20.1,9.7,4324,0.7,,0,1,0,0,0,0,2.16E+01,9.1,,,,,,,2013,Ground,211.656623,-15.715292,88.003116,-29.422014,49.74,0.1,-347.5,347.5,23.62,5.85,4.74,-1.022,4.4,0.57,12
Radial Velocity,2,5.6,0,0.15,0.04,,150.198837,-9.51668,42.09,9.88,4816,0.5,0.71,0,1,0,0,0,0,1.43E+00,6.5,0.04,12.7132,,,,,2009,Ground,248.496598,34.756008,155.837804,-20.283333,23.76,-374.6,24.1,375.4,53.34,5.3,4.43,,,1.4,5
Radial Velocity,2,237.6,0,0.19,0.33,,150.198837,-9.51668,42.09,9.88,4816,0.5,0.71,0,1,0,0,0,0,1.62E+01,13.4,,,,,,,2009,Ground,248.496598,34.756008,155.837804,-20.283333,23.76,-374.6,24.1,375.4,53.34,5.3,4.43,,,1.4,5
Radial Velocity,1,3.48777,0,0.02,0.59,,164.620003,-10.770376,80,10.08,5393,1.47,0.91,0,1,0,0,0,0,5.00E-01,60.9,0.59,187.5197,,,,,2000,Ground,263.285621,43.238484,170.135211,-15.967545,,,,,26.4,5,4.69,,,0.92,7
Radial Velocity,1,1667,0,0.05,0.53,,278.370148,-11.636039,27.3,9.99,4475,0.57,0.52,0,1,0,0,0,0,8.35E+01,13.4,,,,,,,2014,Ground,20.544276,-1.360142,278.367865,11.56045,36.65,-288.5,-234.3,371.7,-87.3,5.7,4.1,,4.4,2,13
Radial Velocity,1,714.29999,0,0.21,9.78,,114.288458,-13.906639,766,9.45,4545,2.12,19.17,0,1,0,0,0,0,2.17E+00,137.6,9.78,3108.3774,,,,,2007,Ground,230.520556,3.531328,119.140645,-34.921187,,,,,18.31,4.5,2.2,,,,11
Radial Velocity,1,655.59998,0,0.54,2.85,,7.142942,-16.226345,37.54,9.566,4665,0.31,0.74,0,1,0,0,0,0,3.57E+01,173.3,2.85,905.8155,,,,,2008,Ground,95.83866,-77.878025,359.903057,-17.689941,26.64,-356.5,-228,423.2,,5.5,4.19,,,1.5,5
Imaging,1,10037.5,0,,10.5,,224.620833,10.228611,23.1,,580.5,0.02,,0,0,1,0,0,0,1.13E+02,,10.5,3337.1,,,,,2011,Ground,9.594193,55.655091,218.819332,25.969066,43.3,,,,,,4.72,,,,0
Imaging,1,,0,,12.569,,166.619893,-77.625877,,,,0.35,,0,0,1,0,0,0,,,12.569,3994.486,,,,,2006,Space,297.277725,-15.921642,238.71138,-66.332993,,,,,,6.35,,,0.002,,3
Imaging,1,,0,,17,2.2,166.037877,-76.455383,165,,,,,0,0,1,0,0,0,2.67E+03,,17,5403,24.66,0.226,,,2007,Ground,296.653702,-14.909141,235.834353,-66.126704,,,,,,,,,0.002,,3
Transit,1,1.5089557,,0,1.03,1.49,102.079885,-3.102147,,13.6,5950,0.95,1.11,1,1,0,0,1,0,,188,1.03,327.35,16.7,0.153,4.92,0.1388,2008,Space,215.338871,-2.107038,103.441849,-25.979515,,,,,23.35,4,4.25,,,5.2,3
Transit,1,13.2406,0,0.53,2.75,0.97,291.063708,0.746143,345,15.22,5075,0.89,0.79,1,1,0,0,0,0,3.06E-01,301,2.75,874,10.87,0.1,31.33,0.1269,2010,Space,37.36077,-6.952866,292.896039,22.526734,,,,,15.33,5.1,4.65,,3,2,3
Transit,1,2.99433,0,0,2.33,1.43,280.687263,5.937688,560,12.939,6440,1.27,1.37,1,1,0,0,0,0,7.79E-02,280,2.33,740.51,16.03,0.147,6.89,0.107,2010,Space,37.240052,4.630184,282.166083,28.926737,,,,,,3.6,4.22,,2,40,3
Transit,1,2.828042,0,0.07,0.917,1.44,100.765677,-1.296439,1150,15.515,5675,1.08,1.12,1,1,0,0,0,0,3.49E-02,125.5,0.917,291.438,16.14,0.148,,,2010,Space,213.131579,-2.454352,101.823072,-24.29496,,,,,,,4.38,,6.3,1,3
Transit,1,4.03519,0,0,1.308,0.885,102.721137,-5.086445,1060,15.039,5945,1.09,1.01,1,1,0,0,0,0,4.81E-02,157.8,1.308,415.704,9.92,0.091,10.81,0.0909,2010,Space,217.398629,-2.439602,104.369342,-27.893388,,,,,22.45,4,4.46,,1.635,4,3
Transit,1,1.51214,0,0,7.6,1.09,103.424211,-5.536037,1340,16.033,6035,1.13,1.21,1,1,0,0,0,0,2.02E-02,1230,7.6,2415.4,12.22,0.112,4.78,0.0925,2010,Space,218.117909,-2.02052,105.210636,-28.269246,,,,,,3.9,4.35,,4.2,9,3
Transit,1,5.35227,0,0.33,0.535,1.17,278.524691,-6.002595,840,15.63,5650,1.1,1.19,1,1,0,0,0,0,7.36E-02,61.96,0.535,170.032,13.11,0.12,11.2,0.101,2011,Space,25.61429,1.101176,278.876385,17.174411,,,,,,4.5,4.36,,6.73,1,3
Transit,1,3.7681,0,0,2.43,1.02,278.699254,-6.612234,920,15.46,5740,1.04,1.59,1,1,0,0,0,0,5.01E-02,312.4,2.43,772.29,11.43,0.105,6.23,,2011,Space,25.152987,0.666416,279.017688,16.555154,,,,,54.77,4.2,4.4,,10.7,4.5,3
Transit,1,1.9000693,0,0.08,3.47,1.31,98.17241,-0.031586,870,15,5440,0.95,1,1,1,0,0,0,0,3.39E-02,590,3.47,1102.82,14.68,0.135,6.35,0.1341,2011,Space,210.819116,-4.184836,98.898264,-23.218794,,,,,29.55,4.9,4.4,,,8,3
Transit,1,3.89713,0,0.047,1.11,1.29,97.033582,-0.170681,770,14.007,6090,1.21,1.65,1,1,0,0,0,0,6.73E-02,126,1.11,352.78,14.46,0.133,6.7,0.0786,2011,Space,210.420555,-5.261174,97.668836,-23.422926,,,,,24.16,3.9,4.07,0.544,5,6,3
Transit,1,1.7429935,0,0.0143,3.47,1.466,291.777056,1.383714,200,12.57,5625,0.96,0.91,1,1,0,0,0,0,1.40E-01,603,3.47,1102.82,16.432,0.151,,,2008,Space,38.262664,-7.29091,293.768937,23.043958,,,,,23.25,,,,2.7,10.87,3
Transit,1,9.24285,0,0.562,4.24,0.84,97.720408,0.226919,1230,14.66,5880,1.14,1.02,1,1,0,0,0,0,7.33E-02,454,4.24,1347.54,9.42,0.086,18.95,0.0842,2011,Space,210.381237,-4.468533,98.390927,-22.987775,,,,,60.62,4.2,4.2,,0.1,4.5,3
Transit,1,9.75598,0,0.077,0.038,0.435,280.667115,6.219136,592,13.944,5939,1.1,1.14,1,1,0,0,0,0,1.55E-01,3.7,0.038,12.2,4.88,0.045,17.3,0.03927,2014,Space,37.482976,4.775094,282.170394,29.208872,,,,,,4.3,4.36,,3.3,4,4
Transit,1,3.6313,0,0.16,2.8,1.05,279.782615,4.357806,600,15.63,5900,1.14,1.61,1,1,0,0,0,0,8.00E-02,377,2.8,889.9,11.77,0.108,6.85,0.0671,2011,Space,35.417464,4.719742,281.003499,27.424196,,,,,-35.18,4,4.3,,7.2,9,3
Transit,2,5.1134,0,0,0.018,0.33,101.922547,-3.719301,600,,4950,0.91,0.86,1,1,0,0,0,0,9.33E-02,2.1,0.018,5.7,3.7,0.034,10.9,0.037,2014,Space,215.817489,-2.527569,103.330918,-26.608527,,,,,51.37,5.1,4.55,,11,2,3
Transit,2,11.759,0,0,0.088,0.44,101.922547,-3.719301,600,,4950,0.91,0.86,1,1,0,0,0,0,1.63E-01,8.3,0.088,28,5,0.045,18,0.05,2014,Space,215.817489,-2.527569,103.330918,-26.608527,,,,,51.37,5.1,4.55,,11,2,3
Transit,1,4.86069,0,0,0.27,1.08,280.629662,6.513829,1000,,6040,1.09,1.19,1,1,0,0,0,0,5.78E-02,29,0.27,85.81,12.11,0.111,10.2,0.085,2013,Space,37.730101,4.941217,282.156353,29.505654,,,,,-15.42,3.9,4.31,,4.5,4.3,3
