pl_discmethod,pl_disc,pl_locale,st_dist,st_optmag,st_teff,st_mass,st_rad,st_logg,st_metfe,st_vsini,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse
Transit,2011,Ground,354,11.66,6065,1.31,1.39,4.26,0.15,0.5,5.00542,,0.25,721.4741
Transit,2011,Ground,283,11.289,6207,1.09,1.19,4.33,-0.04,20.7,2.15001,,0,263.7989
Transit,2011,Ground,387,11.188,6446,1.82,1.79,4.15,0.05,13.7,3.47447,,0,292.4036
Transit,2011,Ground,257,10.162,6442,4.26,1.73,4.21,0.22,24,5.45265,,0.44,2227.9883
Transit,2011,Ground,535,12.46,6096,23.56,3.82,4.21,0.11,0.5,3.64671,,0.03,2390.0816
Transit,2011,Ground,317,12.262,5560,0.78,1,4.37,0.26,3.58,1.32735,,0.06,486.2799
Transit,2011,Ground,411,13.23,5500,0.93,0.88,,,3.07,2.797436,0.0379,0.058,371.528
Transit,2012,Ground,249,12.557,5330,0.89,0.92,,,0.4,4.640382,0.0523,0.067,84.857
Transit,2012,Ground,642,12.422,6430,1.4,1.62,,,12.7,3.54387,0.0509,0,190.372
Transit,2007,Ground,314,11.118,5860,,,,,5.5,3.056536,0.04438,0,213.255
Transit,2012,Ground,501,11.699,6080,1.03,1.94,3.93,0.22,6.9,4.45724,,0,152.5584
Transit,2012,Ground,344,11.087,6390,2.56,2.05,4.14,0.21,19.6,2.69405,,0,378.2177
Transit,2012,Ground,447,12.168,5743,1.18,1.53,4.14,0.27,3.5,4.641878,0.0575,0,331.801
Transit,2012,Ground,542,13.356,5645,1.05,1.1,4.37,0.23,2.4,3.332687,0.0443,0,210.395
Transit,2014,Ground,363,,5295,0.94,0.95,4.46,0.33,0.2,4.301219,0.0507,0.044,111.871
RadialVelocity,2014,Ground,363,,5295,0.94,0.95,4.46,0.33,0.2,872.2,1.752,0.494,1271.3
Transit,2014,Ground,305,,6330,1.26,1.32,4.3,0.07,9.3,3.128992,0.0452,0.049,283.492
Transit,2014,Ground,296,,6120,1.28,1.4,4.25,0.3,4.9,4.463129,0.0577,0.123,156.684
Transit,2014,Ground,322,10.326,6820,2.22,2.06,4.1,0.07,16,2.69155,,0,699.226
Transit,2007,Ground,340,12,5960,1.04,1.12,4.37,0.24,2.6,2.78849,,0,311.4734
Transit,2015,Ground,497,11.762,6280,1.27,1.7,4.07,-0.18,8.9,3.1220109,0.0453,0.115,429.0705
Transit,2015,Ground,470,13.44,5449,0.98,1.04,4.39,0.27,1.7,4.2180278,0.05069,0.123,98.20947
Transit,2015,Ground,385,14.068,5131,0.89,0.89,4.48,0.28,0.6,2.7535953,0.03694,0.047,259.98494
Transit,2015,Ground,719,13.73,5956,1.09,1.21,4.31,0,4.1,1.9616241,0.03159,0.134,471.65972
Transit,2015,Ground,,13.6,4390,0.65,0.62,4.67,-0.127,2.35,3.799847,0.04117,0.074,241.5508
Transit,2015,Ground,480,13.207,5808,1.01,1.01,4.43,-0.03,1.8,3.5852467,0.04604,0.139,184.97706
Transit,2015,Ground,310.5,10.908,6566,1.42,1.47,3.39,0,40.06,2.79083,,,734.1873
Transit,2015,Ground,303,10.465,6330,2.77,1.85,4.25,-0.25,102.1,2.4653,,0,448.1403
Transit,2007,Ground,261,10.44,6570,1.79,1.62,4.22,-0.13,8.7,3.85298,,0,419.5356
Transit,2016,Ground,841,13.145,5835,1.21,1.86,3.98,0.1,7.1,2.6054552,0.03951,0.304,167.49641
Transit,2016,Ground,927,12.993,6002,1.25,1.88,3.99,0.035,7.57,2.972086,0.04363,0.09,248.86089
Transit,2017,Ground,320,10.069,6406,1.64,2.55,3.85,-0.08,35.8,4.8101025,0.06505,0,108.0622
Transit,2008,Ground,320,10.463,6389,1.56,2,4.07,0.26,4.9,2.20474,,0,584.8072
Transit,2008,Ground,230,10.3,6200,1.27,1.57,4.15,0.01,11.5,3.07634,,0,406.8224
Transit,2008,Ground,480,12.297,6350,1.28,1.32,,,11.9,3.92289,0.053,0,247.9
Transit,2012,Ground,303,12.053,5870,0.99,1.04,,,2.52,3.446459,0.0444,0.12,589.55
Transit,2015,Ground,496,13.113,5880,1.1,1.1,4.39,0.15,5.68,3.312846,0.04491,0.501,167.17858
Transit,2016,Ground,,14.018,6060,1,1.44,4.12,-0.39,3.8,3.6191634,,,263.7989
Transit,2016,Ground,,12.756,6408,1.49,2.21,3.92,-0.1,6.57,3.1428347,,,759.6137
Transit,2015,Ground,476,13.887,5523,0.96,0.89,4.52,0.05,2.82,3.0440499,0.04057,0.181,172.58169
Transit,2015,Ground,513,13.79,5346,0.97,0.93,4.48,0.33,3.8,2.7667641,0.03815,0.142,340.39593
Transit,2016,Ground,689,14.774,5311,0.87,0.92,4.45,0,4.18,1.74748753,0.02712,0.126,689.6911
Transit,2016,Ground,774,13.834,5738,0.97,1.24,4.24,-0.1,6.17,2.686502,0.03744,0,1039.3041
Transit,2016,Ground,339,12.39,5846,1.13,1.09,4.42,0.3,3.73,16.254611,0.1308,0.029,425.25654
