pl_discmethod,pl_disc,pl_locale,ra,dec,st_glon,st_glat,st_elon,st_elat,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,st_sp,st_spstr,st_logg,st_lum,st_metfe,st_metratio,st_vsini,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_bmassprov,pl_rade,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag
Transit,2014,Space,292.044615,37.376246,70.25469,9.433985,304.478561,58.205672,955,13.038,Kepler-band,6158,,1.55,,,4.15,,,,,Kepler-264,b,2,40.806231,0.249,,,,3.33,1,0,0,0,0,0
Transit,2014,Space,292.044615,37.376246,70.25469,9.433985,304.478561,58.205672,955,13.038,Kepler-band,6158,,1.55,,,4.15,,,,,Kepler-264,c,2,140.101261,0.566,,,,2.83,1,0,0,0,0,0
Transit,2014,Space,290.510478,41.24482,73.25049,12.211892,304.461246,62.252042,1360,15.381,Kepler-band,5835,,1.1,,,4.33,,,,,Kepler-265,b,4,6.846262,0.069,,,,1.86,1,0,0,0,0,0
Transit,2014,Space,290.510478,41.24482,73.25049,12.211892,304.461246,62.252042,1360,15.381,Kepler-band,5835,,1.1,,,4.33,,,,,Kepler-265,c,4,17.028937,0.127,,,,2.63,1,0,0,0,0,0
Transit,2014,Space,290.510478,41.24482,73.25049,12.211892,304.461246,62.252042,1360,15.381,Kepler-band,5835,,1.1,,,4.33,,,,,Kepler-265,d,4,43.130617,0.236,,,,2.49,1,0,0,0,0,0
Transit,2014,Space,290.510478,41.24482,73.25049,12.211892,304.461246,62.252042,1360,15.381,Kepler-band,5835,,1.1,,,4.33,,,,,Kepler-265,e,4,67.831024,0.319,,,,2.59,1,0,0,0,0,0
Transit,2014,Space,294.484378,44.166916,77.247359,10.898442,312.733576,64.017611,1090,15.59,Kepler-band,5885,,1.03,,,4.45,,,,,Kepler-266,b,2,6.61833,0.071,,,,2.48,1,0,0,0,0,0
Transit,2014,Space,294.484378,44.166916,77.247359,10.898442,312.733576,64.017611,1090,15.59,Kepler-band,5885,,1.03,,,4.45,,,,,Kepler-266,c,2,107.723601,0.457,,,,3.89,1,0,0,0,0,0
Transit,2014,Space,299.830387,47.157461,81.737538,9.073239,323.580885,65.143761,281,15.438,Kepler-band,4258,,0.56,6.1,M1 V,4.73,,,,,Kepler-267,b,3,3.353728,0.037,,,,1.98,1,0,0,0,0,0
Transit,2014,Space,299.830387,47.157461,81.737538,9.073239,323.580885,65.143761,281,15.438,Kepler-band,4258,,0.56,6.1,M1 V,4.73,,,,,Kepler-267,c,3,6.87745,0.06,,,,2.13,1,0,0,0,0,0
Transit,2014,Space,299.830387,47.157461,81.737538,9.073239,323.580885,65.143761,281,15.438,Kepler-band,4258,,0.56,6.1,M1 V,4.73,,,,,Kepler-267,d,3,28.464515,0.154,,,,2.27,1,0,0,0,0,0
Transit,2014,Space,291.976175,38.055075,70.84335,9.790191,304.750685,58.871682,818,13.703,Kepler-band,6081,,1.27,,,4.29,,,,,Kepler-268,b,2,25.934138,0.18,,,,2.55,1,0,0,0,0,0
Transit,2014,Space,291.976175,38.055075,70.84335,9.790191,304.750685,58.871682,818,13.703,Kepler-band,6081,,1.27,,,4.29,,,,,Kepler-268,c,2,83.446393,0.391,,,,3.38,1,0,0,0,0,0
Transit,2014,Space,290.215171,41.775967,73.644879,12.6393,304.349538,62.825072,1193,15.808,Kepler-band,5847,,0.96,,,4.5,,,,,Kepler-269,b,2,5.326718,0.061,,,,2.47,1,0,0,0,0,0
Transit,2014,Space,290.215171,41.775967,73.644879,12.6393,304.349538,62.825072,1193,15.808,Kepler-band,5847,,0.96,,,4.5,,,,,Kepler-269,c,2,8.127899,0.081,,,,1.69,1,0,0,0,0,0
Transit,2011,Space,292.236769,41.085876,73.687041,10.974464,306.988133,61.699891,1140,15.855,Kepler-band,5400,0.65,0.59,,,5.4,,0.41,[M/H],0.6,Kepler-27,b,2,15.3348,0.118,,2895.31,Mass,4,1,0,0,0,0,0
Transit,2011,Space,292.236769,41.085876,73.687041,10.974464,306.988133,61.699891,1140,15.855,Kepler-band,5400,0.65,0.59,,,5.4,,0.41,[M/H],0.6,Kepler-27,c,2,31.3309,0.191,,4385.87,Mass,4.9,1,0,0,0,0,0
Transit,2014,Space,282.2001,44.422302,73.858134,19.055161,292.630217,66.905645,1019,13.908,Kepler-band,6067,,1.46,,,4.2,,,,,Kepler-270,b,2,11.476094,0.107,,,,2.01,1,0,0,0,0,0
Transit,2014,Space,282.2001,44.422302,73.858134,19.055161,292.630217,66.905645,1019,13.908,Kepler-band,6067,,1.46,,,4.2,,,,,Kepler-270,c,2,25.262887,0.18,,,,1.77,1,0,0,0,0,0
Transit,2014,Space,283.00298,44.284233,73.928062,18.468425,293.973347,66.644623,418,13.404,Kepler-band,5524,,0.88,,,4.49,,,,,Kepler-271,b,3,5.217738,0.056,,,,0.89,1,0,0,0,0,0
Transit,2014,Space,283.00298,44.284233,73.928062,18.468425,293.973347,66.644623,418,13.404,Kepler-band,5524,,0.88,,,4.49,,,,,Kepler-271,c,3,7.410935,0.071,,,,1,1,0,0,0,0,0
Transit,2016,Space,283.00298,44.284233,73.928062,18.468425,293.973347,66.644623,418,13.404,Kepler-band,5524,,0.88,,,4.49,,,,,Kepler-271,d,3,5.24972541,,,,,0.66,1,0,0,0,0,0
Transit,2014,Space,299.127524,47.59383,81.877276,9.704075,323.065203,65.752903,699,14.678,Kepler-band,5297,,0.93,,,4.43,,,,,Kepler-272,b,3,2.971353,0.038,,,,1.43,1,0,0,0,0,0
Transit,2014,Space,299.127524,47.59383,81.877276,9.704075,323.065203,65.752903,699,14.678,Kepler-band,5297,,0.93,,,4.43,,,,,Kepler-272,c,3,6.057342,0.061,,,,1.79,1,0,0,0,0,0
Transit,2014,Space,299.127524,47.59383,81.877276,9.704075,323.065203,65.752903,699,14.678,Kepler-band,5297,,0.93,,,4.43,,,,,Kepler-272,d,3,10.937304,0.091,,,,2.25,1,0,0,0,0,0
Transit,2014,Space,291.302209,47.697758,79.50301,14.43632,311.015886,68.12566,874,14.968,Kepler-band,5626,,0.81,,,4.51,,,,,Kepler-273,b,2,2.936532,0.037,,,,1.5,1,0,0,0,0,0
Transit,2014,Space,291.302209,47.697758,79.50301,14.43632,311.015886,68.12566,874,14.968,Kepler-band,5626,,0.81,,,4.51,,,,,Kepler-273,c,2,8.014927,0.073,,,,1.98,1,0,0,0,0,0
Transit,2014,Space,292.922774,38.477274,71.568148,9.321408,306.369515,59.05617,1172,15.035,Kepler-band,6023,,1.01,,,4.44,,,,,Kepler-274,b,2,11.634788,0.101,,,,1.54,1,0,0,0,0,0
Transit,2014,Space,292.922774,38.477274,71.568148,9.321408,306.369515,59.05617,1172,15.035,Kepler-band,6023,,1.01,,,4.44,,,,,Kepler-274,c,2,33.197861,0.204,,,,1.84,1,0,0,0,0,0
Transit,2014,Space,292.479713,38.514927,71.44113,9.646932,305.74666,59.195835,1818,15.319,Kepler-band,6165,,1.38,,,4.23,,,,,Kepler-275,b,3,10.300682,0.098,,,,2.34,1,0,0,0,0,0
Transit,2014,Space,292.479713,38.514927,71.44113,9.646932,305.74666,59.195835,1818,15.319,Kepler-band,6165,,1.38,,,4.23,,,,,Kepler-275,c,3,16.088134,0.132,,,,3.38,1,0,0,0,0,0
Transit,2014,Space,292.479713,38.514927,71.44113,9.646932,305.74666,59.195835,1818,15.319,Kepler-band,6165,,1.38,,,4.23,,,,,Kepler-275,d,3,35.676062,0.224,,,,3.33,1,0,0,0,0,0
Transit,2014,Space,293.56815,39.036326,72.306016,9.133353,307.641822,59.433711,1326,15.368,Kepler-band,6105,,1.05,,,4.45,,,,,Kepler-276,b,3,14.12841,0.119,,,,2.87,1,0,0,0,0,0
Transit,2013,Space,293.56815,39.036326,72.306016,9.133353,307.641822,59.433711,1326,15.368,Kepler-band,6105,,1.05,,,4.45,,,,,Kepler-276,c,3,31.884,,,16.6,Mass,2.9,1,0,0,0,0,0
Transit,2013,Space,293.56815,39.036326,72.306016,9.133353,307.641822,59.433711,1326,15.368,Kepler-band,6105,,1.05,,,4.45,,,,,Kepler-276,d,3,48.648,,,16.3,Mass,2.8,1,0,0,0,0,0
Transit,2013,Space,286.583175,39.077209,69.944207,14.03819,297.159087,60.962234,859,13.42,Kepler-band,5946,,1.65,,,4.08,,,,,Kepler-277,b,2,17.324,,,87.3,Mass,2.92,1,0,0,0,0,0
Transit,2013,Space,286.583175,39.077209,69.944207,14.03819,297.159087,60.962234,859,13.42,Kepler-band,5946,,1.65,,,4.08,,,,,Kepler-277,c,2,33.006,,,64.2,Mass,3.36,1,0,0,0,0,0
Transit,2014,Space,290.107193,38.702235,70.772124,11.390322,302.345021,59.903758,431,11.584,Kepler-band,4991,,2.94,,,3.62,,,,,Kepler-278,b,2,30.160546,0.207,,,,4.07,1,0,0,0,0,0
Transit,2014,Space,290.107193,38.702235,70.772124,11.390322,302.345021,59.903758,431,11.584,Kepler-band,4991,,2.94,,,3.62,,,,,Kepler-278,c,2,51.078775,0.294,,,,3.59,1,0,0,0,0,0
Transit,2014,Space,287.391224,42.194836,73.146968,14.724276,300.133632,63.825881,1223,13.659,Kepler-band,6363,,1.75,,,4.05,,,,,Kepler-279,b,3,12.309681,0.112,,,,3.62,1,0,0,0,0,0
Transit,2013,Space,287.391224,42.194836,73.146968,14.724276,300.133632,63.825881,1223,13.659,Kepler-band,6363,,1.75,,,4.05,,,,,Kepler-279,c,3,35.736,,,49.4,Mass,4.3,1,0,0,0,0,0
Transit,2013,Space,287.391224,42.194836,73.146968,14.724276,300.133632,63.825881,1223,13.659,Kepler-band,6363,,1.75,,,4.05,,,,,Kepler-279,d,3,54.414,,,37.5,Mass,3.1,1,0,0,0,0,0
Transit,2011,Space,292.137029,42.42942,74.880406,11.638758,307.773872,62.995164,472,15.036,Kepler-band,4590,0.75,0.7,6,M0 V,4.29,,0.34,[M/H],,Kepler-28,b,2,5.9123,0.062,,479.9,Mass,3.6,1,0,0,0,0,0
Transit,2011,Space,292.137029,42.42942,74.880406,11.638758,307.773872,62.995164,472,15.036,Kepler-band,4590,0.75,0.7,6,M0 V,4.29,,0.34,[M/H],,Kepler-28,c,2,8.9858,0.081,,432.23,Mass,3.4,1,0,0,0,0,0
Transit,2014,Space,291.39051,42.180588,74.40422,12.025429,306.447186,62.938961,751,14.466,Kepler-band,5744,,0.89,,,4.54,,,,,Kepler-280,b,2,2.139542,0.032,,,,1.45,1,0,0,0,0,0
Transit,2014,Space,291.39051,42.180588,74.40422,12.025429,306.447186,62.938961,751,14.466,Kepler-band,5744,,0.89,,,4.54,,,,,Kepler-280,c,2,4.807091,0.056,,,,2.01,1,0,0,0,0,0
Transit,2014,Space,294.108191,44.770699,77.669304,11.413467,312.686808,64.678074,1276,15.773,Kepler-band,5723,,0.9,,,4.53,,,,,Kepler-281,b,2,14.646008,0.117,,,,2.82,1,0,0,0,0,0
Transit,2014,Space,294.108191,44.770699,77.669304,11.413467,312.686808,64.678074,1276,15.773,Kepler-band,5723,,0.9,,,4.53,,,,,Kepler-281,c,2,36.337373,0.215,,,,5.31,1,0,0,0,0,0
Transit,2014,Space,284.677277,44.797684,74.876063,17.533125,297.221177,66.855222,1048,15.204,Kepler-band,5602,,0.9,,,4.46,,,,,Kepler-282,b,4,9.220524,0.082,,,,1.01,1,0,0,0,0,0
Transit,2014,Space,284.677277,44.797684,74.876063,17.533125,297.221177,66.855222,1048,15.204,Kepler-band,5602,,0.9,,,4.46,,,,,Kepler-282,c,4,13.638723,0.106,,,,1.2,1,0,0,0,0,0
Transit,2013,Space,284.677277,44.797684,74.876063,17.533125,297.221177,66.855222,1048,15.204,Kepler-band,5602,,0.9,,,4.46,,,,,Kepler-282,d,4,24.806,,,61,Mass,2.46,1,0,0,0,0,0
Transit,2013,Space,284.677277,44.797684,74.876063,17.533125,297.221177,66.855222,1048,15.204,Kepler-band,5602,,0.9,,,4.46,,,,,Kepler-282,e,4,44.347,,,56.2,Mass,3.1,1,0,0,0,0,0
Transit,2014,Space,293.613726,47.838998,80.320052,13.093253,314.942683,67.628041,453,15.847,Kepler-band,4351,,0.57,,,4.72,,,,,Kepler-283,b,2,11.008151,0.082,,,,2.13,1,0,0,0,0,0
Transit,2014,Space,293.613726,47.838998,80.320052,13.093253,314.942683,67.628041,453,15.847,Kepler-band,4351,,0.57,,,4.72,,,,,Kepler-283,c,2,92.743711,0.341,,,,1.82,1,0,0,0,0,0
Transit,2014,Space,293.146491,47.729649,80.077741,13.327499,314.072432,67.658837,1219,15.824,Kepler-band,5615,,0.81,,,4.58,,,,,Kepler-284,b,2,12.699149,0.104,,,,2.24,1,0,0,0,0,0
Transit,2014,Space,293.146491,47.729649,80.077741,13.327499,314.072432,67.658837,1219,15.824,Kepler-band,5615,,0.81,,,4.58,,,,,Kepler-284,c,2,37.514456,0.213,,,,2.61,1,0,0,0,0,0
Transit,2014,Space,291.390905,48.065609,79.874009,14.535443,311.552881,68.440897,789,15.173,Kepler-band,5411,,0.81,,,4.58,,,,,Kepler-285,b,2,2.633867,0.036,,,,1.34,1,0,0,0,0,0
Transit,2014,Space,291.390905,48.065609,79.874009,14.535443,311.552881,68.440897,789,15.173,Kepler-band,5411,,0.81,,,4.58,,,,,Kepler-285,c,2,6.186676,0.064,,,,1.12,1,0,0,0,0,0
Transit,2014,Space,290.676145,48.294289,79.886422,15.063924,310.595147,68.838086,1281,15.587,Kepler-band,5580,,0.86,,,4.5,,,,,Kepler-286,b,4,1.796302,0.027,,,,1.24,1,0,0,0,0,0
Transit,2014,Space,290.676145,48.294289,79.886422,15.063924,310.595147,68.838086,1281,15.587,Kepler-band,5580,,0.86,,,4.5,,,,,Kepler-286,c,4,3.468095,0.042,,,,1.37,1,0,0,0,0,0
Transit,2014,Space,290.676145,48.294289,79.886422,15.063924,310.595147,68.838086,1281,15.587,Kepler-band,5580,,0.86,,,4.5,,,,,Kepler-286,d,4,5.914323,0.061,,,,1.33,1,0,0,0,0,0
Transit,2014,Space,290.676145,48.294289,79.886422,15.063924,310.595147,68.838086,1281,15.587,Kepler-band,5580,,0.86,,,4.5,,,,,Kepler-286,e,4,29.221289,0.176,,,,1.77,1,0,0,0,0,0
Transit,2014,Space,290.927458,48.44355,80.098124,14.972576,311.183628,68.909966,866,14.775,Kepler-band,5806,,1.03,5.7,K7 V,4.4,,,,,Kepler-287,b,2,20.342199,0.145,,,,2.33,1,0,0,0,0,0
Transit,2014,Space,290.927458,48.44355,80.098124,14.972576,311.183628,68.909966,866,14.775,Kepler-band,5806,,1.03,5.7,K7 V,4.4,,,,,Kepler-287,c,2,44.851896,0.246,,,,3.26,1,0,0,0,0,0
Transit,2014,Space,288.916426,39.594717,71.19262,12.6069,301.028973,61.012051,1176,15.151,Kepler-band,5918,,1.09,,,4.35,,,,,Kepler-288,b,3,6.097326,0.065,,,,1.67,1,0,0,0,0,0
Transit,2014,Space,288.916426,39.594717,71.19262,12.6069,301.028973,61.012051,1176,15.151,Kepler-band,5918,,1.09,,,4.35,,,,,Kepler-288,c,3,19.305772,0.14,,,,2.85,1,0,0,0,0,0
Transit,2014,Space,288.916426,39.594717,71.19262,12.6069,301.028973,61.012051,1176,15.151,Kepler-band,5918,,1.09,,,4.35,,,,,Kepler-288,d,3,56.633742,0.287,,,,2.67,1,0,0,0,0,0
Transit,2014,Space,297.465344,42.88285,77.146653,8.386572,316.046974,62.00228,700,13.956,Kepler-band,5990,1.08,1,,,4.47,0.061,0.05,[Fe/H],,Kepler-289,b,3,34.545,0.21,,7.3,Mass,2.15,1,0,0,0,0,0
Transit,2014,Space,297.465344,42.88285,77.146653,8.386572,316.046974,62.00228,700,13.956,Kepler-band,5990,1.08,1,,,4.47,0.061,0.05,[Fe/H],,Kepler-289,c,3,125.8518,0.51,,132,Mass,11.59,1,0,0,0,0,0
Transit,2014,Space,297.465344,42.88285,77.146653,8.386572,316.046974,62.00228,700,13.956,Kepler-band,5990,1.08,1,,,4.47,0.061,0.05,[Fe/H],,Kepler-289,d,3,66.0634,0.33,,4,Mass,2.68,1,0,0,0,0,0
Transit,2011,Space,298.348324,47.491226,81.522546,10.110383,321.812223,65.907876,1400,15.282,Kepler-band,5701,0.98,0.93,,,,,-0.04,[Fe/H],4,Kepler-29,b,2,10.3384,,,4.51,Mass,3.35,1,0,0,0,0,0
Transit,2011,Space,298.348324,47.491226,81.522546,10.110383,321.812223,65.907876,1400,15.282,Kepler-band,5701,0.98,0.93,,,,,-0.04,[Fe/H],4,Kepler-29,c,2,13.2884,,,4,Mass,3.14,1,0,0,0,0,0
Transit,2014,Space,286.409984,42.681553,73.3163,15.581348,298.827994,64.487258,741,15.596,Kepler-band,5147,,0.74,,,4.62,,,,,Kepler-290,b,2,14.589347,0.11,,,,2.25,1,0,0,0,0,0
Transit,2014,Space,286.409984,42.681553,73.3163,15.581348,298.827994,64.487258,741,15.596,Kepler-band,5147,,0.74,,,4.62,,,,,Kepler-290,c,2,36.77031,0.205,,,,2.7,1,0,0,0,0,0
Transit,2014,Space,287.916357,42.437302,73.53715,14.465442,301.133157,63.952626,1296,15.934,Kepler-band,6002,,1.02,,,4.47,,,,,Kepler-291,b,2,3.546511,0.047,,,,2.16,1,0,0,0,0,0
Transit,2014,Space,287.916357,42.437302,73.53715,14.465442,301.133157,63.952626,1296,15.934,Kepler-band,6002,,1.02,,,4.47,,,,,Kepler-291,c,2,5.700786,0.065,,,,1.88,1,0,0,0,0,0
Transit,2014,Space,295.766145,42.424288,76.128002,9.257622,313.210818,62.052916,1051,15.956,Kepler-band,5299,,0.83,,,4.54,,,,,Kepler-292,b,5,2.580827,0.035,,,,1.32,1,0,0,0,0,0
Transit,2014,Space,295.766145,42.424288,76.128002,9.257622,313.210818,62.052916,1051,15.956,Kepler-band,5299,,0.83,,,4.54,,,,,Kepler-292,c,5,3.715335,0.045,,,,1.47,1,0,0,0,0,0
Transit,2014,Space,295.766145,42.424288,76.128002,9.257622,313.210818,62.052916,1051,15.956,Kepler-band,5299,,0.83,,,4.54,,,,,Kepler-292,d,5,7.055679,0.068,,,,2.23,1,0,0,0,0,0
Transit,2014,Space,295.766145,42.424288,76.128002,9.257622,313.210818,62.052916,1051,15.956,Kepler-band,5299,,0.83,,,4.54,,,,,Kepler-292,e,5,11.97901,0.097,,,,2.67,1,0,0,0,0,0
Transit,2014,Space,295.766145,42.424288,76.128002,9.257622,313.210818,62.052916,1051,15.956,Kepler-band,5299,,0.83,,,4.54,,,,,Kepler-292,f,5,20.834237,0.141,,,,2.35,1,0,0,0,0,0
Transit,2014,Space,286.358057,42.406509,73.037698,15.510152,298.577792,64.231542,1068,15.368,Kepler-band,5804,,0.96,,,4.5,,,,,Kepler-293,b,2,19.254196,0.144,,,,3.07,1,0,0,0,0,0
Transit,2014,Space,286.358057,42.406509,73.037698,15.510152,298.577792,64.231542,1068,15.368,Kepler-band,5804,,0.96,,,4.5,,,,,Kepler-293,c,2,54.155743,0.286,,,,3.83,1,0,0,0,0,0
Transit,2014,Space,287.392009,46.059312,76.83914,16.232313,302.858698,67.524703,1364,15.843,Kepler-band,5913,,0.98,,,4.49,,,,,Kepler-294,b,2,3.701212,0.048,,,,1.77,1,0,0,0,0,0
Transit,2014,Space,287.392009,46.059312,76.83914,16.232313,302.858698,67.524703,1364,15.843,Kepler-band,5913,,0.98,,,4.49,,,,,Kepler-294,c,2,6.6264,0.071,,,,2.71,1,0,0,0,0,0
Transit,2014,Space,285.345843,45.367786,75.612192,17.299636,298.77659,67.280189,630,14.447,Kepler-band,5603,,0.9,,,4.44,,,,,Kepler-295,b,3,12.645164,0.099,,,,1.22,1,0,0,0,0,0
Transit,2014,Space,285.345843,45.367786,75.612192,17.299636,298.77659,67.280189,630,14.447,Kepler-band,5603,,0.9,,,4.44,,,,,Kepler-295,c,3,21.526258,0.142,,,,1.17,1,0,0,0,0,0
Transit,2014,Space,285.345843,45.367786,75.612192,17.299636,298.77659,67.280189,630,14.447,Kepler-band,5603,,0.9,,,4.44,,,,,Kepler-295,d,3,33.884054,0.192,,,,1.36,1,0,0,0,0,0
Transit,2014,Space,286.540008,49.437326,79.901189,18.014577,304.46182,70.903628,226,15.921,Kepler-band,3740,0.5,0.48,6.2,M2 V,4.77,,-0.08,[Fe/H],,Kepler-296,b,5,10.864384,0.079,0.33,,,1.61,1,0,0,0,0,0
Transit,2014,Space,286.540008,49.437326,79.901189,18.014577,304.46182,70.903628,226,15.921,Kepler-band,3740,0.5,0.48,6.2,M2 V,4.77,,-0.08,[Fe/H],,Kepler-296,c,5,5.8416366,0.0521,0.33,,,2,1,0,0,0,0,0
Transit,2014,Space,286.540008,49.437326,79.901189,18.014577,304.46182,70.903628,226,15.921,Kepler-band,3740,0.5,0.48,6.2,M2 V,4.77,,-0.08,[Fe/H],,Kepler-296,d,5,19.850291,0.118,0.33,,,2.09,1,0,0,0,0,0
Transit,2014,Space,286.540008,49.437326,79.901189,18.014577,304.46182,70.903628,226,15.921,Kepler-band,3740,0.5,0.48,6.2,M2 V,4.77,,-0.08,[Fe/H],,Kepler-296,e,5,34.14211,0.169,0.33,,,1.53,1,0,0,0,0,0
Transit,2014,Space,286.540008,49.437326,79.901189,18.014577,304.46182,70.903628,226,15.921,Kepler-band,3740,0.5,0.48,6.2,M2 V,4.77,,-0.08,[Fe/H],,Kepler-296,f,5,63.33627,0.255,0.33,,,1.8,1,0,0,0,0,0
Transit,2014,Space,283.209159,48.777645,78.460573,19.839955,297.487648,70.958835,745,14.232,Kepler-band,5619,,0.92,,,4.47,,,,,Kepler-297,b,2,38.871826,0.217,,,,2.87,1,0,0,0,0,0
Transit,2014,Space,283.209159,48.777645,78.460573,19.839955,297.487648,70.958835,745,14.232,Kepler-band,5619,,0.92,,,4.47,,,,,Kepler-297,c,2,74.920137,0.336,,,,6.54,1,0,0,0,0,0
Transit,2014,Space,283.039792,48.825359,78.470316,19.960941,297.199135,71.035621,504,15.415,Kepler-band,4465,,0.58,,,4.71,,,,,Kepler-298,b,3,10.475464,0.08,,,,1.96,1,0,0,0,0,0
Transit,2014,Space,283.039792,48.825359,78.470316,19.960941,297.199135,71.035621,504,15.415,Kepler-band,4465,,0.58,,,4.71,,,,,Kepler-298,c,3,22.92881,0.136,,,,1.93,1,0,0,0,0,0
Transit,2014,Space,283.039792,48.825359,78.470316,19.960941,297.199135,71.035621,504,15.415,Kepler-band,4465,,0.58,,,4.71,,,,,Kepler-298,d,3,77.473633,0.305,,,,2.5,1,0,0,0,0,0
Transit,2014,Space,283.206964,48.580502,78.261859,19.777386,297.316652,70.769823,1024,15.017,Kepler-band,5617,,1.03,,,4.39,,,,,Kepler-299,b,4,2.927128,0.04,,,,1.32,1,0,0,0,0,0
Transit,2014,Space,283.206964,48.580502,78.261859,19.777386,297.316652,70.769823,1024,15.017,Kepler-band,5617,,1.03,,,4.39,,,,,Kepler-299,c,4,6.885875,0.07,,,,2.65,1,0,0,0,0,0
Transit,2014,Space,283.206964,48.580502,78.261859,19.777386,297.316652,70.769823,1024,15.017,Kepler-band,5617,,1.03,,,4.39,,,,,Kepler-299,d,4,15.054786,0.118,,,,1.86,1,0,0,0,0,0
Transit,2014,Space,283.206964,48.580502,78.261859,19.777386,297.316652,70.769823,1024,15.017,Kepler-band,5617,,1.03,,,4.39,,,,,Kepler-299,e,4,38.285489,0.22,,,,1.87,1,0,0,0,0,0
Transit,2012,Space,285.283636,38.947281,69.40708,14.913405,295.068563,61.063174,1400,15.403,Kepler-band,5498,0.99,0.95,,,4.77,,0.18,[Fe/H],1.94,Kepler-30,b,3,29.33434,0.18,0.042,11.3,Mass,3.9,1,0,0,0,0,0
Transit,2012,Space,285.283636,38.947281,69.40708,14.913405,295.068563,61.063174,1400,15.403,Kepler-band,5498,0.99,0.95,,,4.77,,0.18,[Fe/H],1.94,Kepler-30,c,3,60.323105,0.3,0.0111,640,Mass,12.3,1,0,0,0,0,0
Transit,2012,Space,285.283636,38.947281,69.40708,14.913405,295.068563,61.063174,1400,15.403,Kepler-band,5498,0.99,0.95,,,4.77,,0.18,[Fe/H],1.94,Kepler-30,d,3,143.34394,0.5,0.022,23.1,Mass,8.8,1,0,0,0,0,0
Transit,2014,Space,295.288694,48.59972,81.530181,12.436659,318.46727,67.828315,872,14.201,Kepler-band,5986,,0.9,,,4.53,,,,,Kepler-300,b,2,10.446347,0.094,,,,1.67,1,0,0,0,0,0
Transit,2014,Space,295.288694,48.59972,81.530181,12.436659,318.46727,67.828315,872,14.201,Kepler-band,5986,,0.9,,,4.53,,,,,Kepler-300,c,2,40.714955,0.232,,,,2.25,1,0,0,0,0,0
Transit,2014,Space,283.982968,49.23299,79.093779,19.509048,299.394372,71.2482,742,14.271,Kepler-band,5815,,0.9,,,4.53,,,,,Kepler-301,b,3,2.508553,0.036,,,,1.35,1,0,0,0,0,0
Transit,2014,Space,283.982968,49.23299,79.093779,19.509048,299.394372,71.2482,742,14.271,Kepler-band,5815,,0.9,,,4.53,,,,,Kepler-301,c,3,5.419026,0.06,,,,1.35,1,0,0,0,0,0
Transit,2014,Space,283.982968,49.23299,79.093779,19.509048,299.394372,71.2482,742,14.271,Kepler-band,5815,,0.9,,,4.53,,,,,Kepler-301,d,3,13.751243,0.112,,,,1.75,1,0,0,0,0,0
Transit,2014,Space,294.316985,43.629345,76.704932,10.758124,312.02715,63.563521,1433,15.505,Kepler-band,5740,,1.22,,,4.29,,,,,Kepler-302,b,2,30.184104,0.193,,,,4.06,1,0,0,0,0,0
Transit,2014,Space,294.316985,43.629345,76.704932,10.758124,312.02715,63.563521,1433,15.505,Kepler-band,5740,,1.22,,,4.29,,,,,Kepler-302,c,2,127.282184,0.503,,,,12.45,1,0,0,0,0,0
Transit,2014,Space,283.135465,43.657055,73.343684,18.160745,293.854791,66.012027,175,14.39,Kepler-band,3944,,0.48,6,M0 V,4.77,,,,,Kepler-303,b,2,1.937055,0.024,,,,0.89,1,0,0,0,0,0
Transit,2014,Space,283.135465,43.657055,73.343684,18.160745,293.854791,66.012027,175,14.39,Kepler-band,3944,,0.48,6,M0 V,4.77,,,,,Kepler-303,c,2,7.061149,0.057,,,,1.14,1,0,0,0,0,0
Transit,2014,Space,294.441763,40.557587,73.986281,9.249239,309.901567,60.655227,483,14.84,Kepler-band,4731,,0.69,,,4.63,,,,,Kepler-304,b,4,3.295709,0.039,,,,2.86,1,0,0,0,0,0
Transit,2014,Space,294.441763,40.557587,73.986281,9.249239,309.901567,60.655227,483,14.84,Kepler-band,4731,,0.69,,,4.63,,,,,Kepler-304,c,4,5.315946,0.054,,,,2.17,1,0,0,0,0,0
Transit,2014,Space,294.441763,40.557587,73.986281,9.249239,309.901567,60.655227,483,14.84,Kepler-band,4731,,0.69,,,4.63,,,,,Kepler-304,d,4,9.653471,0.08,,,,2.75,1,0,0,0,0,0
Transit,2016,Space,294.441763,40.557587,73.986281,9.249239,309.901567,60.655227,483,14.84,Kepler-band,4731,,0.69,,,4.63,,,,,Kepler-304,e,4,1.49914695,,,,,1.2,1,0,0,0,0,0
Transit,2013,Space,299.224311,40.343182,75.599745,5.973446,316.528906,59.152293,864,15.812,Kepler-band,5100,,0.79,,,4.56,,,,,Kepler-305,b,3,5.487,,,10.5,Mass,3.6,1,0,0,0,0,0
Transit,2013,Space,299.224311,40.343182,75.599745,5.973446,316.528906,59.152293,864,15.812,Kepler-band,5100,,0.79,,,4.56,,,,,Kepler-305,c,3,8.291,,,6,Mass,3.3,1,0,0,0,0,0
Transit,2014,Space,299.224311,40.343182,75.599745,5.973446,316.528906,59.152293,864,15.812,Kepler-band,5100,,0.79,,,4.56,,,,,Kepler-305,d,3,16.738661,0.121,,,,2.71,1,0,0,0,0,0
