pl_discmethod,pl_disc,pl_locale,ra,dec,st_glon,st_glat,st_elon,st_elat,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,st_sp,st_spstr,st_logg,st_lum,st_metfe,st_metratio,st_vsini,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_bmassprov,pl_rade,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag
Radial Velocity,2009,Ground,199.601318,-18.311195,311.859025,44.092637,205.0072,-9.297809,8.52,4.74,V (Johnson),5577,0.94,0.96,4.5,G5 V,4.34,-0.095,-0.01,[Fe/H],1.9,61 Vir,d,3,123.01,0.476,0.35,22.9,Msini,,0,1,0,0,0,0
Radial Velocity,2011,Ground,99.17099,-19.255878,228.688399,-11.796021,101.741914,-42.322075,19.84,3.92,V (Johnson),4792,1.52,2.3,5.1,K1 III,3.25,1.053,0.21,[Fe/H],1.15,7 CMa,b,1,796,1.93,0.22,781.8618,Msini,,0,1,0,0,0,0
Radial Velocity,1996,Ground,202.107544,13.778788,337.665279,74.100664,194.970818,21.340775,18.11,4.98,V (Johnson),5531,1.14,1.84,4.4,G4 V,3.97,,-0.06,[Fe/H],1.56,70 Vir,b,1,116.6884,0.48,0.4,2421.8646,Mass,,0,1,0,0,0,0
Radial Velocity,2012,Ground,38.039253,-1.034896,169.944194,-54.44159,35.325385,-15.1675,81.5,5.35,V (Johnson),4846,2.49,10.5,4.3,G3 III,2.63,1.73,0,[Fe/H],1.77,75 Cet,b,1,691.9,2.1,0.117,953.49,Msini,,0,1,0,0,0,0
Radial Velocity,2015,Ground,224.201477,74.900925,112.794978,39.66113,130.659106,73.344908,159.1,6.83,V (Johnson),4847,1.44,10.3,5,K0,2.57,,-0.03,[Fe/H],3.6,8 UMi,b,1,93.4,0.49,0.06,416.3573,Mass,,0,1,0,0,0,0
Radial Velocity,2008,Ground,39.424168,-3.396175,174.486548,-55.24993,35.893927,-17.849554,97.18,5.65,V (Johnson),4785,2.4,11,4.5,G5 III,2.35,1.778,-0.06,[Fe/H],1.8,81 Cet,b,1,952.7,2.5,0.206,1684.4,Msini,,0,1,0,0,0,0
Radial Velocity,2013,Ground,348.9729,-9.087737,67.071988,-61.112023,346.308642,-4.001592,45.52,4.25,V (Johnson),4665,1.4,11,5,K0 III,2.52,,-0.03,[Fe/H],3.9,91 Aqr,b,1,181.4,0.7,0.027,1017,Msini,,0,1,0,0,0,0
Imaging,2005,Ground,94.803802,-58.05431,266.943713,-26.930799,106.859385,-81.211862,45.52,9.128,V (Johnson),,,,5.2,K2 V,,,,,12,AB Pic,b,1,,260,,4290.5,Mass,,0,0,1,0,0,0
Radial Velocity,2017,Ground,177.564804,2.760142,269.325351,61.573487,176.6684,1.564346,2618,9.58,V (Johnson),4095,1.14,32.35,,,1.89,2.7,-0.71,[Fe/H],2.7,BD+03 2562,b,1,481.9,1.3,0.2,2034.112,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,318.399963,14.689387,64.417655,-22.630868,325.97532,29.216882,50.03,9.63,V (Johnson),4864,0.49,0.86,5.2,K2 V,4.26,,0.17,[Fe/H],2.5,BD+14 4559,b,1,268.94,0.78,0.29,330.5432,Mass,,0,1,0,0,0,0
Radial Velocity,2016,Ground,176.482174,14.616381,249.002386,70.272589,170.891143,11.999643,774,10.31,V (Johnson),4649,1.08,8.95,,,2.61,1.57,-0.22,[Fe/H],2.5,BD+15 2375,b,1,153.22,0.576,0.001,337.21763,Msini,,0,1,0,0,0,0
Radial Velocity,2013,Ground,240.095566,15.54693,28.104434,44.780297,233.93879,35.317753,175.44,9.046,V (Johnson),4796,1.1,14.7,5,K0,2.8,2.01,0.28,[Fe/H],2.3,BD+15 2940,b,1,137.48,0.539,0.26,352.78,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,154.18691,19.891409,216.044637,53.952466,148.88207,8.585762,200,9.75,V (Johnson),4259,10.83,71.02,5.2,K2 II,1.77,,-0.79,[Fe/H],2.5,BD+20 2457,b,2,379.63,1.05,0.15,17668.1697,Mass,,0,1,0,0,0,0
Radial Velocity,2009,Ground,154.18691,19.891409,216.044637,53.952466,148.88207,8.585762,200,9.75,V (Johnson),4259,10.83,71.02,5.2,K2 II,1.77,,-0.79,[Fe/H],2.5,BD+20 2457,c,2,621.99,2.01,0.18,3963.17,Msini,,0,1,0,0,0,0
Radial Velocity,2012,Ground,25.920324,21.005314,138.974211,-40.233372,31.621666,9.587493,1083.64,9.36,V (Johnson),4296,0.8,17.3,5.5,K5 III,1.99,1.96,-0.46,[Fe/H],2,BD+20 274,b,1,578.2,1.3,0.21,1334.886,Msini,,0,1,0,0,0,0
Transit,2016,Space,53.650967,20.599232,166.796349,-28.053358,56.292499,1.312319,,11.038,V (Johnson),5766,1.67,1.08,4,G,4.5,,-0.15,[Fe/H],3.3,BD+20 594,b,1,41.6855,,0,22.2481,Mass,2.578,1,1,0,0,0,0
Radial Velocity,2011,Ground,40.710224,49.58696,140.808446,-9.378616,54.573323,32.030243,,9.14,V (Johnson),4414,0.74,11,5,K0 III,2.24,1.69,-0.2,[Fe/H],1,BD+48 738,b,1,392.6,1,0.2,289.2253,Msini,,0,1,0,0,0,0
Radial Velocity,2018,Ground,40.742569,48.930061,141.109069,-9.96525,54.322852,31.408497,751.87,8.699,V (Johnson),4534,1.09,10.33,,,2.48,1.64,-0.13,[Fe/H],0.7,BD+48 740,b,1,733,1.7,0.76,540.311,Msini,,0,1,0,0,0,0
Radial Velocity,2015,Ground,45.640529,49.730011,143.61786,-7.801619,58.151801,31.078591,407.63,9.38,V (Johnson),4943,1.52,7.6,5,K0,2.85,1.47,-0.19,[Fe/H],1.7,BD+49 828,b,1,2590,4.2,0.35,508.5,Msini,,0,1,0,0,0,0
Radial Velocity,2013,Ground,88.251183,-5.994844,211.656623,-15.715292,88.003116,-29.422014,20.1,9.7,V (Johnson),4324,0.7,,5.85,K7/M0 V,4.74,-1.022,-0.14,[Fe/H],0.57,BD-06 1339,b,2,3.8728,0.0428,0,8.5,Msini,,0,1,0,0,0,0
Radial Velocity,2013,Ground,88.251183,-5.994844,211.656623,-15.715292,88.003116,-29.422014,20.1,9.7,V (Johnson),4324,0.7,,5.85,K7/M0 V,4.74,-1.022,-0.14,[Fe/H],0.57,BD-06 1339,c,2,125.94,0.435,0.31,53,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,150.198837,-9.51668,248.496598,34.756008,155.837804,-20.283333,42.09,9.88,V (Johnson),4816,0.5,0.71,5.3,K3 V,4.43,,-0.06,[Fe/H],1.4,BD-08 2823,b,2,5.6,0.06,0.15,12.7132,Mass,,0,1,0,0,0,0
Radial Velocity,2009,Ground,150.198837,-9.51668,248.496598,34.756008,155.837804,-20.283333,42.09,9.88,V (Johnson),4816,0.5,0.71,5.3,K3 V,4.43,,-0.06,[Fe/H],1.4,BD-08 2823,c,2,237.6,0.68,0.19,104,Msini,,0,1,0,0,0,0
Radial Velocity,2000,Ground,164.620003,-10.770376,263.285621,43.238484,170.135211,-15.967545,80,10.08,V (Johnson),5393,1.47,0.91,5,K0 V,4.69,,0.38,[Fe/H],0.92,BD-10 3166,b,1,3.48777,0.04,0.02,187.5197,Mass,,0,1,0,0,0,0
Radial Velocity,2014,Ground,278.370148,-11.636039,20.544276,-1.360142,278.367865,11.56045,27.3,9.99,V (Johnson),4475,0.57,0.52,5.7,K7 V,4.1,,-0.48,[Fe/H],2,BD-11 4672,b,1,1667,2.28,0.05,168.44,Msini,,0,1,0,0,0,0
Radial Velocity,2007,Ground,114.288458,-13.906639,230.520556,3.531328,119.140645,-34.921187,766,9.45,V (Johnson),4545,2.12,19.17,4.5,G5 IV/V,2.2,,-0.08,[Fe/H],,BD-13 2130,b,1,714.29999,1.66,0.21,3108.3774,Mass,,0,1,0,0,0,0
Radial Velocity,2008,Ground,7.142942,-16.226345,95.83866,-77.878025,359.903057,-17.689941,37.54,9.566,V (Johnson),4665,0.31,0.74,5.5,K5 V,4.19,,0.01,[Fe/H],1.5,BD-17 63,b,1,655.59998,1.34,0.54,905.8155,Mass,,0,1,0,0,0,0
